story_id,title,author,kudos,hits,bookmarks,rating,warnings,category,relationships,characters,additional_tags
34127974,You are all I long for,rainingallthetime,1590,15890,110,Mature,No Archive Warnings Apply,M/M,"'Cho Sangwoo/Seong Gihun', 'some GiHun/his girlfriend'","'Seong Gihun', 'Cho Sangwoo', ""GinHun's girlfriend""","'Jealousy', 'Sangwoo being the snake that he is', ""poor GiHun's girlfriend"", 'awkward meeting get together', 'gihun why did you think this was a good idea', 'Dry Humping', 'Clothed Sex', 'sugar daddy sangwoo', 'Alternate Universe  Canon Divergence', 'Alternate Universe  Sangwoo uses his brain'"
34079449,Fly me to the moon,rainingallthetime,1195,10480,68,General Audiences,No Archive Warnings Apply,M/M,'Cho Sangwoo/Seong Gihun',"'Cho Sangwoo', 'Seong Gihun', 'Sangwoo’s mother', 'Gihun’s mother'","'Alternate Universe  Canon Divergence', 'where sangwoo uses his genius brain right', 'PreCanon', 'PreSlash', 'sangwoo wasn’t always a snake', 'he was a boy too', 'crushing on his hyung'"
34448059,Delivery,rainingallthetime,1093,12660,72,Explicit,No Archive Warnings Apply,M/M,'Cho Sangwoo/Seong Gihun',"'Cho Sangwoo', 'Seong Gihun'","'Alpha/Beta/Omega Dynamics', 'Alpha Cho Sangwoo', 'Omega Seong Gihun', ""Sangwoo's in rut"", 'Gihun wants to help', 'Explicit Sexual Content', 'Gihun only came to give sangwoo his birthday present', 'But then it was More'"
34041061,"In other words, darling, kiss me",rainingallthetime,1075,13892,70,Explicit,Graphic Depictions Of Violence,M/M,'Cho Sangwoo/Seong Gihun',"'Cho Sangwoo', 'Seong Gihun'","'Explicit Sexual Content', 'Dubious Consent', 'Bordering on NonCon', 'past relationship', 'Angry Sex', 'i just wanna kickstart this ship', 'Major Spoilers', 'don’t read if you haven’t finished squid game', 'also it’s very rushed'"
34133302,At ease,catch21,1033,8003,68,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,M/M,'Cho Sangwoo/Ali Abdul',"'Cho Sangwoo', 'Ali Abdul'","'indulgent first kiss fic', 'consent implied but not asked for', 'Episode 5', 'technically canon compliant', 'i love ali so much'"
34203805,Taking Care of Him Again,vergeriisms,980,10880,65,Explicit,No Archive Warnings Apply,M/M,'Cho Sangwoo/Seong Gihun',"'Cho Sangwoo', 'Seong Gihun'","'Alpha/Beta/Omega Dynamics', 'Alpha Cho Sangwoo', 'Omega Seong Gihun', 'Fingering', 'Sangwoo is kind of soft', ""Don't ask me how this dynamic ends or something because I DON'T KNOW"", 'i just write porn'"
34387306,Inseparable,Derniere,895,7985,101,Mature,Creator Chose Not To Use Archive Warnings,M/M,'Cho Sangwoo/Seong Gihun',"'Cho Sangwoo', 'Seong Gihun', ""Cho Sangwoo's Mother""","'Pining', 'Mutual Pining', 'Fluff and Smut', 'How Do I Tag', 'Alternate Universe  No One is in Debt Squid Game', 'Idiots in Love', 'Humor', 'happy effing ending', 'I Wrote This Instead of Sleeping', 'jealous sangwoo', 'GiHun has a restaurant', 'Childhood friends to strangers to lovers', 'SangWoo is definetly a snake to anyone but GiHun', ""and i'm here for that"", ""He's in denial guys be patient with him"""
34297090,Keeping Watch,kashifire,852,9690,54,Mature,No Archive Warnings Apply,M/M,'Ali Abdul/Cho Sangwoo',"'Ali Abdul', 'Cho Sangwoo', 'Seong Gihun'","'Making Out', 'Getting Together', 'Light squid game spoilers', 'Dom/sub Undertones', 'Sangwoo is thirsty lol', 'Hurt/Comfort'"
34406347,Player 456 Eliminated,startlingirony,744,5576,68,Teen And Up Audiences,Graphic Depictions Of ViolenceMajor Character Death,M/M,"'Cho Sangwoo/Seong Gihun', 'Cho Sangwoo & Seong Gihun'","'Seong Gihun', 'Cho Sangwoo', 'Kang Saebyeok'","'Major Character Injury', 'Blood and Injury', 'Graphic Description', 'Squid Game Spoilers', 'Episode: s01e09 One Lucky Day Squid Game', 'Cho Sangwoo Lives', 'Kang Saebyeok Lives', 'Alternate Universe  Canon Divergence', 'Not Beta Read', 'Implied/Referenced Homophobia', 'Childhood Friends', 'Childhood Memories', 'no happy ending', 'Sorry Everyone :'"
34139971,blow on it like it's hot,redmaynes,743,7661,56,Explicit,Creator Chose Not To Use Archive Warnings,M/M,'Cho Sangwoo/Gong Yoo',"'Cho Sangwoo', 'Gong Yoo'","'my whore nee ness for the squid game characters knows no bounds', 'SemiPublic Sex', 'Blowjobs', 'Humiliation', 'Light Dom/sub', ""bro i don't even kno wht the saleman's name is so imma just put gong yoo's name LMAO"", 'Facials'"
